Spine Id,Dendrite Id,Dendritic Compartment, Spine Area, Spine Attachment Pt Diameter, Spine Attachment Pt Distance, Spine Branch Depth, Spine Branch Level, Spine Branchings, Spine Length, Spine Max Diameter, Spine Mean Diameter, Spine Min Diameter, Spine Neck Length, Spine Neck Max Diameter, Spine Neck Mean Diameter, Spine Neck Min Diameter, Spine Neck Volume, Spine Orientation Angle, Spine Position X, Spine Position Y, Spine Position Z, Spine Resistance, Spine Straightness, Spine Terminal Pt Diameter, Spine Terminal Pt Distance, Spine Terminal Pt Volume, Spine Time, Spine Time Index, Spine Volume
T-700000432,T,apical,1.8393499851,1.6409499645,358.718994141,1,2,0,1.0382100344,1.6409499645,0.8435239792,0.4806210101,0,0.4806210101,0.4806210101,0.4806210101,0.0666385964,146.276000977,498.769989014,472.471008301,10.0687999725,4.5114197731,0.9499980211,0.6796979904,360.238006592,0.1644169986,0,1,0.2310560048
T-700000433,T,apical,4.1076698303,1.6409499645,358.718994141,1,2,0,2.6101200581,1.6409499645,0.7336120009,0.3153100014,1.1686999798,0.6299290061,0.4643239975,0.3153100014,0.3481659889,113.197998047,499.134002686,472.414001465,8.838809967,14.1211996078,0.9973149896,0.679700017,361.808990479,0.164417997,0,1,0.512583971
C3-700000079,C3,apical,2.9905500412,0.9612309933,143.309997559,2,1,0,1.3721100092,0.9612309933,0.7524949908,0.6299279928,0.3749789894,0.8410770297,0.7458080053,0.6505399942,0.3060629964,-45.1530990601,387.540985107,671.593017578,29.095500946,3.5824100971,0.9676160216,0.6796990037,144.822998047,0.164417997,0,1,0.4704810083
C3-700000078,C3,apical,1.348009944,0.48061499,144.337997437,2,1,0,1.402889967,0.48061499,0.3378840089,0.1951539963,0.487432003,0.1951539963,0.1951539963,0.1951539963,0.0425176993,-63.9207000732,387.119995117,670.744018555,29.1245002747,28.722700119,0.9855769873,0.48061499,145.740997314,0.0581286997,0,1,0.1006459966
T-700000436,T,apical,3.8161299229,1.6796799898,356.390991211,1,2,0,1.9869699478,1.6796799898,0.7571439743,0.2551540136,0.7689290047,0.5256149769,0.3727889955,0.2551540136,0.0753628984,-165.578994751,498.234008789,474.496002197,9.1343603134,13.2341003418,0.8853510022,0.9612309933,358.736999512,0.465030998,0,1,0.5403940082
T-700000437,T,apical,2.574160099,1.6796799898,356.390991211,1,2,0,1.1873099804,1.6796799898,0.973968029,0.620043993,0.3385199904,0.7800800204,0.7000619769,0.620043993,0.236846,178.42300415,498.74899292,474.691009521,8.9920196533,2.9347200394,0.9290869832,0.6796979904,358.07800293,0.1644169986,0,1,0.4012619853
T-700000434,T,apical,3.1325199604,0.8275290132,357.989990234,1,2,0,1.8107199669,0.8275290132,0.6071640253,0.4806239903,0.970664978,0.6171190143,0.5758900046,0.5303900242,0.3610880077,166.621002197,499.149993896,472.934997559,9.1210203171,7.3847899437,0.9374359846,0.4806239903,359.973999023,0.0581320003,0,1,0.4192200005
T-700000239,T,apical,3.402659893,3.3569300175,225.386993408,0,1,0,1.3824900389,3.3569300175,0.9787279963,0.3800800145,0.2671039999,1.0401599407,1.0401599407,1.0401599407,0.5200780034,-176.548995972,480.67199707,597.499023438,-7.5411000252,8.6476297379,0.9220280051,0.6796979904,228.108001709,0.1644169986,0,1,0.6844949722
C3-700000073,C3,apical,3.3190701008,0.6796990037,149.065994263,2,1,0,1.6990100145,0.6796990037,0.6299279928,0.48061499,0.7983599901,0.6796990037,0.6631090045,0.6299279928,0.4466089904,-144.147994995,383.493988037,667.37298584,29.8932991028,5.5735602379,0.9287409782,0.48061499,150.865005493,0.0581286997,0,1,0.5047370195
C3-700000072,C3,apical,3.7359800339,0.6796990037,151.466003418,2,1,0,1.9449800253,0.6796990037,0.6174849868,0.48061499,0.6547200084,0.6796990037,0.6548140049,0.6299279928,0.5038409829,135.470993042,382.04598999,666.315002441,30.4694004059,6.6119599342,0.9869340062,0.48061499,153.511001587,0.0581286997,0,1,0.5619699955
C3-700000071,C3,apical,1.8965400457,0.48061499,152.45199585,2,1,0,1.9095100164,0.4850029945,0.2980450094,0.1000000015,1.1052000523,0.4850029945,0.2250159979,0.1000000015,0.1012429968,107.902000427,381.346984863,666.356018066,30.8901996613,73.0274963379,0.9566770196,0.48061499,154.361999512,0.0581286997,0,1,0.1593710035
C3-700000070,C3,apical,3.5039000511,0.48061499,152.45199585,2,1,0,3.6321599484,0.4850029945,0.3009740114,0.1000000015,2.8726799488,0.4850029945,0.271032989,0.1000000015,0.2470580041,113.532997131,380.958007812,667.112976074,31.3075008392,123.081001282,0.8987420201,0.4806230068,156.083999634,0.0581316017,0,1,0.305189997
C3-700000077,C3,apical,2.3776700497,1.1603200436,145.121002197,2,1,0,1.1964600086,1.1603200436,0.802267015,0.5303859711,0.369284004,0.6505399942,0.5904629827,0.5303859711,0.1653809994,-40.4379005432,386.704986572,670.255981445,28.8360996246,3.7422599793,0.9967210293,0.6796990037,146.557998657,0.164417997,0,1,0.3297989964
C3-700000076,C3,apical,3.0100400448,0.9612309933,146.873001099,2,1,0,1.3468500376,0.9612309933,0.6448000073,0.2903079987,0,0.2903079987,0.2903079987,0.2903079987,0,108.364997864,385.179992676,669.710998535,29.4197006226,7.5199198723,0.9542570114,0.9612309933,148.220001221,0.465030998,0,1,0.4378240108
C3-700000075,C3,apical,1.8952599764,0.9612309933,146.873001099,2,1,0,2.1738200188,0.9612309933,0.3782060146,0.1000000015,1.41031003,0.48061499,0.242731005,0.1000000015,0.0947166979,176.731002808,384.304992676,669.317993164,30.0016002655,89.581703186,0.9449599981,0.48061499,149.287002563,0.0581286997,0,1,0.1528449953
C3-700000074,C3,apical,3.0076999664,0.6796990037,149.065994263,2,1,0,1.4269800186,0.8204650283,0.6702719927,0.48061499,0.5023180246,0.8204650283,0.7603880167,0.7003110051,0.439271003,4.6072897911,383.937988281,667.716003418,29.7924003601,4.1787900925,0.9961900115,0.48061499,150.593002319,0.0581286997,0,1,0.4973990023
C2-700000094,C2,apical,5.6213197708,0.9612309933,116.887001038,2,3,0,1.7474700213,1.0904500485,1.0208200216,0.9612309933,0.497514993,1.0904500485,1.0803999901,1.0703599453,0.8575980067,100.502998352,371.967987061,749.288024902,-24.1986999512,2.0767600536,0.9309189916,0.9612309933,118.635002136,0.465030998,0,1,1.3226300478
C2-700000095,C2,apical,1.2599799633,0.9612309933,115.489997864,2,3,0,0.9464510083,0.9612309933,0.5855389833,0.3303079903,0.2933149934,0.4552319944,0.3927699924,0.3303079903,0.0611927994,-77.257598877,373.545013428,748.851989746,-24.2112998962,6.5492601395,0.9105629921,0.48061499,116.677001953,0.0581286997,0,1,0.1193210036
C2-700000096,C2,apical,2.4422900677,0.9612309933,114.753997803,2,3,0,0.9382690191,1.0110000372,0.9105799794,0.6796979904,0,0.9903889894,0.9903889894,0.9903889894,0.286740005,61.9779014587,374.222991943,749.25,-24.0699996948,1.6201100349,0.9686099887,0.6796979904,115.833000183,0.1644169986,0,1,0.4511570036
C2-700000097,C2,apical,4.2669901848,0.9612309933,114.753997803,2,3,0,1.1852300167,1.16031003,1.077360034,0.9612309933,0,0,0,0,0.1990839988,60.8553009033,374.170013428,749.218017578,-24.4682998657,1.1929500103,0.9932479858,1.16031003,115.838996887,0.8179389834,0,1,1.0170199871
C2-700000090,C2,apical,4.0608301163,0.6796990037,119.580001831,2,3,0,1.8366500139,0.8908600211,0.6915180087,0.5303919911,0.8575310111,0.8410909772,0.6505479813,0.5303919911,0.4911009967,-64.095703125,369.695007324,747.796020508,-24.4435997009,5.2838702202,0.9687870145,0.6796979904,121.416999817,0.1644169986,0,1,0.6555179954
C2-700000091,C2,apical,3.4360699654,0.6796990037,119.580001831,2,3,0,1.1145800352,1.0110000372,0.9105799794,0.6796990037,0,0.9903889894,0.9903889894,0.9903889894,0.2592920065,24.390499115,369.691009521,748.432983398,-24.8005008698,1.5472999811,0.9984310269,0.9612309933,120.554000854,0.465030998,0,1,0.7243229747
C2-700000092,C2,apical,3.7803800106,0.6796990037,119.082000732,2,3,0,2.0720100403,0.8204730153,0.6252179742,0.48061499,1.2551300526,0.7003170252,0.6041920185,0.5801590085,0.4826720059,-108.691001892,369.795013428,747.79699707,-24.3304004669,7.3684000969,0.8623740077,0.48061499,121.253997803,0.0581286997,0,1,0.5407999754
C2-700000093,C2,apical,1.6339399815,0.9612309933,117.132003784,2,3,0,1.5519599915,0.9612309933,0.4589360058,0.1800000072,0.8032850027,0.4054639935,0.286386013,0.1800000072,0.0730725005,-81.725402832,371.917999268,748.335998535,-24.3906993866,21.7742004395,0.9784650207,0.4806230068,118.924003601,0.0581316017,0,1,0.1312039942
C1-700000441,C1,apical,1.5359899998,0.9612460136,235.458999634,4,3,0,1.459890008,0.9612460136,0.4697369933,0.1951549947,0.6646109819,0.3854660094,0.2585920095,0.1951549947,0.0613274015,108.54599762,652.263977051,932.575012207,9.1888504028,23.6551990509,0.9914640188,0.4806210101,237.158996582,0.0581309013,0,1,0.1194579974
C2-700000098,C2,apical,4.1750998497,1.16031003,114.517997742,2,3,0,1.7273800373,1.16031003,0.8018050194,0.5303919911,0.5072119832,0.7003170252,0.587033987,0.5303919911,0.2492499948,-81.9354019165,374.441009521,748.541015625,-24.2296009064,4.6348900795,0.9648600221,0.9612309933,116.345001221,0.465030998,0,1,0.7142810225
